Entity ID,Entity Name,Plant ID,Plant Name,Google Map,Bing Map,Plant State,County,Balancing Authority Code,Sector,Generator ID,Unit Code,Nameplate Capacity (MW),Net Summer Capacity (MW),Net Winter Capacity (MW),Technology,Energy Source Code,Prime Mover Code,Planned Operation Month,Planned Operation Year,Status,Latitude,Longitude
64339,"VESI Upton County BESS, LLC",64811,Upton County BESS,Map,Map,TX,Upton,ERCO,IPP Non-CHP,UPT8,,3.1,3.1,3.1,Batteries,MWH,BA,3,2023,"(V) Under construction, more than 50 percent complete",31.23924,-102.3217
50123,"Leeward Asset Management, LLC",64864,Chaparral Springs,Map,Map,CA,Kern,CISO,IPP Non-CHP,CHAPS,,102,102,102,Solar Photovoltaic,SUN,PV,3,2023,"(V) Under construction, more than 50 percent complete",34.870764,-118.3195
64438,"Enel Green Power Roseland Solar, LLC",65028,"Roseland Solar Project, LLC",Map,Map,TX,Falls,ERCO,IPP Non-CHP,ROSEB,,59.1,59.1,59.1,Batteries,MWH,BA,3,2023,"(V) Under construction, more than 50 percent complete",31.459606,-96.82436
64438,"Enel Green Power Roseland Solar, LLC",65028,"Roseland Solar Project, LLC",Map,Map,TX,Falls,ERCO,IPP Non-CHP,ROSES,,500,500,500,Solar Photovoltaic,SUN,PV,3,2023,"(V) Under construction, more than 50 percent complete",31.459606,-96.82436
60947,Tesla Inc.,65070,Austin TX GigaFactory,Map,Map,TX,Travis,ERCO,Industrial Non-CHP,C01,,1.9,1.9,1.9,Solar Photovoltaic,SUN,PV,3,2023,"(U) Under construction, less than or equal to 50 percent complete",30.22021,-97.61968
60947,Tesla Inc.,65073,Berrenda Mesa Water District,Map,Map,CA,Kern,CISO,IPP Non-CHP,PV1,,6.4,6.4,6.4,Solar Photovoltaic,SUN,PV,3,2023,"(TS) Construction complete, but not yet in commercial operation",35.613342,-119.8668
61944,MN8 Energy LLC,65121,NY8 - Grissom Solar,Map,Map,NY,Montgomery,NYIS,IPP Non-CHP,GEN1,,20,20,20,Solar Photovoltaic,SUN,PV,3,2023,"(V) Under construction, more than 50 percent complete",42.973,-74.321
61944,MN8 Energy LLC,65123,NY8 - Janis Solar,Map,Map,NY,Cortland,NYIS,IPP Non-CHP,GEN1,,20,20,20,Solar Photovoltaic,SUN,PV,3,2023,"(V) Under construction, more than 50 percent complete",42.453939,-75.93103
64531,ASA Volney NY Solar I LLC,65159,ASA Volney NY Solar I LLC,Map,Map,NY,Oswego,NYIS,IPP Non-CHP,VOL1,,5,5,5,Solar Photovoltaic,SUN,PV,3,2023,"(V) Under construction, more than 50 percent complete",43.328217,-76.359
58970,"Ecoplexus, Inc",65179,Ironwood State Prison,Map,Map,CA,Riverside,CISO,IPP Non-CHP,IRNWD,,1.1,1.1,1.1,Solar Photovoltaic,SUN,PV,3,2023,"(V) Under construction, more than 50 percent complete",33.567384,-114.9284
58970,"Ecoplexus, Inc",65180,Chuckawalla State Prison,Map,Map,CA,Riverside,CISO,IPP Non-CHP,CHKWL,,2.1,2.1,2.1,Solar Photovoltaic,SUN,PV,3,2023,"(V) Under construction, more than 50 percent complete",33.567212,-114.9238
56769,Consolidated Edison Development Inc.,65221,Watlington Solar,Map,Map,VA,Halifax,PJM,IPP Non-CHP,WSPV,,20,20,20,Solar Photovoltaic,SUN,PV,3,2023,"(V) Under construction, more than 50 percent complete",36.681547,-78.88596
13683,North Carolina El Member Corp,65240,Maysville BESS,Map,Map,NC,Jones,CPLE,Electric Utility,BAT1,,5,5,5,Batteries,MWH,BA,3,2023,"(V) Under construction, more than 50 percent complete",34.851782,-77.18158
13683,North Carolina El Member Corp,65241,McKinney BESS,Map,Map,NC,Richmond,CPLE,Electric Utility,BAT1,,5,5,5,Batteries,MWH,BA,3,2023,"(TS) Construction complete, but not yet in commercial operation",34.905833,-79.75702
13683,North Carolina El Member Corp,65243,New Rosewood BESS,Map,Map,NC,Wayne,CPLE,Electric Utility,BAT1,,2.5,2.5,2.5,Batteries,MWH,BA,3,2023,"(TS) Construction complete, but not yet in commercial operation",35.436188,-78.10965
13683,North Carolina El Member Corp,65244,Queens Creek BESS,Map,Map,NC,Onslow,CPLE,Electric Utility,BAT1,,2.5,2.5,2.5,Batteries,MWH,BA,3,2023,"(TS) Construction complete, but not yet in commercial operation",34.672452,-77.18804
13683,North Carolina El Member Corp,65245,Rocky Point BESS,Map,Map,NC,Pender,CPLE,Electric Utility,BAT1,,5,5,5,Batteries,MWH,BA,3,2023,"(TS) Construction complete, but not yet in commercial operation",34.475294,-77.82995
13683,North Carolina El Member Corp,65246,Walkers Crossroads BESS,Map,Map,NC,Wake,CPLE,Electric Utility,BAT1,,5,5,5,Batteries,MWH,BA,3,2023,"(TS) Construction complete, but not yet in commercial operation",35.925227,-78.50515
13683,North Carolina El Member Corp,65247,Zion Hill BESS,Map,Map,NC,Brunswick,CPLE,Electric Utility,BAT1,,5,5,5,Batteries,MWH,BA,3,2023,"(V) Under construction, more than 50 percent complete",33.993923,-78.22455
13683,North Carolina El Member Corp,65248,Collier BESS,Map,Map,NC,Cumberland,CPLE,Electric Utility,BAT1,,2.5,2.5,2.5,Batteries,MWH,BA,3,2023,"(TS) Construction complete, but not yet in commercial operation",35.204903,-78.89031
13683,North Carolina El Member Corp,65249,Docs Road BESS,Map,Map,NC,Harnett,CPLE,Electric Utility,BAT1,,5,5,5,Batteries,MWH,BA,3,2023,"(TS) Construction complete, but not yet in commercial operation",35.323928,-78.9975
13683,North Carolina El Member Corp,65250,Five Points BESS,Map,Map,NC,Randolph,CPLE,Electric Utility,BAT1,,5,5,5,Batteries,MWH,BA,3,2023,"(TS) Construction complete, but not yet in commercial operation",35.632465,-79.68196
59496,Allete Clean Energy,65282,Red Barn Energy,Map,Map,WI,Grant,MISO,IPP Non-CHP,WT,,91.6,91.6,91.6,Onshore Wind Turbine,WND,WT,3,2023,"(V) Under construction, more than 50 percent complete",42.951448,-90.4407
64607,Salt City Solar LLC,65302,Salt City Solar Project - Hybrid,Map,Map,OH,Ross,PJM,IPP Non-CHP,SOLAR,,49.9,49.9,49.9,Solar Photovoltaic,SUN,PV,3,2023,"(V) Under construction, more than 50 percent complete",39.41473,-82.96285
64610,"Powells Creek Farm Solar, LLC",65305,Powells Creek Solar - Hybrid,Map,Map,VA,Halifax,PJM,IPP Non-CHP,SOLAR,,70,70,70,Solar Photovoltaic,SUN,PV,3,2023,"(TS) Construction complete, but not yet in commercial operation",36.55467,-79.0286
